Country,yr1970,yr1971,yr1972,yr1973,yr1974,yr1975,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984,yr1985,yr1986,yr1987,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018
Papua New Guinea,0.0,0.0,124000.0,182900.0,184100.0,172477.0,176519.0,182291.0,198603.0,170788.0,146813.0,165420.0,170004.0,183191.0,164447.0,175048.0,178593.0,217699.0,218633.0,204025.0,170211.0,204459.0,193359.0,203945.0,206329.0,212737.0,186665.0,111515.0,151556.0,187921.0,203061.0,203762.0,211315.0,202300.0,173370.0,192978.0,194355.0,169184.0,159650.0,166669.0,159821.0,130456.0,125326.0,105523.0,75901.0,45185.0,80022.0,105419.0,96287.0
Peru,220225.0,207346.0,219126.0,202686.0,211593.0,165813.0,220269.0,338110.0,366753.0,390720.0,366800.0,327614.0,356300.0,322200.0,364732.0,385000.0,386060.0,406430.0,316400.0,368200.0,323400.0,382277.0,379128.0,381250.0,365513.0,409693.0,485595.0,506498.0,483338.0,536387.0,553924.0,722035.0,842783.0,842578.0,1035574.0,1009898.0,1048472.0,1190274.0,1267867.0,1276249.0,1247184.0,1235345.0,1298761.0,1375641.0,1377642.0,1700817.0,2353859.0,2445585.0,2436951.0
Philippines,160292.0,197573.0,213695.0,221195.0,225485.0,225775.0,237588.0,272792.0,263589.0,298300.0,304504.0,302328.0,292086.0,271403.0,233359.0,222189.0,217023.0,214103.0,216465.0,191930.0,180459.0,148000.0,123523.0,136258.0,112075.0,102637.0,62297.0,48637.0,45381.0,37631.0,31900.0,20321.0,18365.0,20414.0,15984.0,16320.0,17161.0,22862.0,21235.0,49060.0,58412.0,63835.0,65444.0,90861.0,91824.0,83835.0,83649.0,68156.0,69933.0
Poland,83000.0,122300.0,135000.0,152000.0,185000.0,230000.0,263000.0,282000.0,312000.0,340000.0,343000.0,294600.0,376000.0,402300.0,431000.0,432000.0,435000.0,438000.0,459000.0,401000.0,370000.0,382000.0,332000.0,382600.0,378000.0,384200.0,421900.0,414737.0,435800.0,463200.0,454100.0,474000.0,502800.0,503544.0,530768.0,511799.0,497200.0,451900.0,429687.0,439365.0,425725.0,426665.0,427064.0,428879.0,421285.0,426196.0,424000.0,419000.0,401300.0
Portugal,3762.0,3957.0,543.0,651.0,568.0,447.0,387.0,3208.0,2962.0,3652.0,3889.0,2849.0,2287.0,375.0,366.0,314.0,271.0,203.0,8221.0,98017.0,159841.0,158885.0,152300.0,150430.0,130255.0,129726.0,107774.0,106580.0,114515.0,99472.0,76300.0,82965.0,77227.0,77581.0,95700.0,89541.0,78660.0,90247.0,89026.0,86462.0,74426.0,79686.0,74043.0,77236.0,75433.0,83081.0,74453.0,63812.0,49064.0
Romania,0.0,0.0,30000.0,40000.0,40000.0,44000.0,30000.0,27000.0,27000.0,29000.0,28000.0,30000.0,30000.0,28000.0,30000.0,30000.0,35000.0,49800.0,50200.0,47800.0,32000.0,27200.0,24700.0,25250.0,26034.0,24520.0,24434.0,22638.0,19065.0,16455.0,16099.0,19185.0,19323.0,23389.0,20380.0,16286.0,12535.0,2213.0,308.0,3129.0,5127.0,6355.0,5902.0,6800.0,7200.0,3600.0,7300.0,7400.0,8100.0
South Africa,144200.0,148400.0,161927.0,175797.0,179111.0,178927.0,196880.0,205414.0,205745.0,190591.0,210348.0,208567.0,195643.0,212112.0,206550.0,205052.0,192936.0,197913.0,178171.0,191577.0,188368.0,193642.0,176074.0,189000.0,173000.0,182000.0,188000.0,185000.0,187800.0,162900.0,147600.0,141900.0,90000.0,89338.0,85710.0,88600.0,89500.0,97000.0,108700.0,107600.0,102600.0,96600.0,88800.0,80821.0,78697.0,77360.0,65257.0,65503.0,46900.0
Spain,9522.0,34032.0,39900.0,51588.0,46753.0,30020.0,34867.0,43462.0,40448.0,42982.0,48483.0,56423.0,47614.0,54818.0,63105.0,60960.0,51084.0,16213.0,14165.0,27510.0,13300.0,7716.0,10863.0,6691.0,5944.0,24519.0,38398.0,38887.0,39438.0,7862.0,24804.0,9800.0,1248.0,635.0,1308.0,7358.0,8129.0,6281.0,14138.0,17663.0,54335.0,68511.0,99894.0,104600.0,103900.0,112690.0,167736.0,198353.0,185237.0
Sweden,26283.0,30200.0,30619.0,44819.0,40637.0,40634.0,44860.0,44764.0,47412.0,45773.0,42785.0,51472.0,52682.0,75338.0,90448.0,91867.0,87871.0,86113.0,75032.0,71238.0,74283.0,81650.0,89145.0,88909.0,79384.0,83603.0,71659.0,86610.0,73685.0,71160.0,77765.0,74269.0,71991.0,83143.0,82415.0,87068.0,86746.0,62905.0,57688.0,55414.0,76514.0,82967.0,82422.0,82904.0,79345.0,75125.0,78992.0,104450.0,106142.0
Taiwan,2500.0,2400.0,1996.0,2400.0,2500.0,1900.0,2000.0,2000.0,800.0,600.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,31100.0,30000.0,22100.0,30200.0,30000.0,27300.0,29323.0,34979.0,27188.0,30521.0,21300.0,32085.0,32789.0,24767.0,31075.0,29860.0,26085.0,31531.0,37746.0,38151.0,39825.0,39422.0,36425.0,39200.0,43400.0,44500.0,52200.0,64600.0,73900.0,73051.0,76053.0,56820.0,48217.0,43245.0,49800.0,54100.0,46400.0,81000.0,82400.0,72400.0,79900.0,92500.0,104300.0,120500.0,122000.0,108000.0,100000.0,83000.0,79600.0
United States of America,1560038.0,1380894.0,1510318.0,1558489.0,1448776.0,1282184.0,1456564.0,1364375.0,1357587.0,1446586.0,1181116.0,1538160.0,1146975.0,1038098.0,1102613.0,1102600.0,1147277.0,1243596.0,1416928.0,1497818.0,1587742.0,1631078.0,1764756.0,1801382.0,1850000.0,1849100.0,1918300.0,1939600.0,1859400.0,1626400.0,1444100.0,1338600.0,1142400.0,1116000.0,1160000.0,1140000.0,1197000.0,1170000.0,1310000.0,1180000.0,1110000.0,1112900.0,1166800.0,1278200.0,1384700.0,1416300.0,1461900.0,1290000.0,1250000.0
Uganda,0.0,0.0,0.0,14200.0,11500.0,8500.0,7000.0,4000.0,7200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,0.0,0.0,238.0,459.0,434.0,652.0,552.0,453.0,135.0,0.0,200.0,607.0,649.0,652.0,657.0,592.0,602.0,750.0,732.0,508.0,955.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yugoslavia,90808.0,94392.0,103133.0,111797.0,112080.0,114894.0,120130.0,116218.0,123319.0,111421.0,114786.0,110961.0,119299.0,129506.0,137575.0,142479.0,138544.0,130470.0,103523.0,139631.0,140145.0,121842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zambia,684100.0,651400.0,717700.0,706574.0,697956.0,647163.0,711681.0,658788.0,654012.0,586046.0,609935.0,587442.0,529641.0,591300.0,576000.0,510800.0,512858.0,527000.0,518062.0,540079.0,545677.0,423000.0,432600.0,431500.0,384400.0,341938.0,339744.0,331235.0,378798.0,270995.0,249304.0,306909.0,307834.0,346900.0,410300.0,465002.0,497169.0,524000.0,567700.0,601200.0,767008.0,663400.0,695200.0,759800.0,708259.0,710860.0,725359.0,797266.0,851089.0
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,500.0,4900.0,8080.0,9088.0,6770.0,9158.0,9830.0,12234.0,16460.0,16641.0,18068.0,17700.0,16400.0,17930.0,17629.0,18754.0,23233.0,31062.0,33597.0,40908.0,48891.0,50952.0,83634.0,102962.0,113560.0,84100.0
